Week	L	M	S	P01	P1	P3	P5	P10	P15	P25	P50	P75	P85	P90	P95	P97	P99	P999
0	0.3809	3.2322	0.14171	2	2.3	2.4	2.5	2.7	2.8	2.9	3.2	3.6	3.7	3.9	4	4.2	4.4	4.8
1	0.2671	3.3388	0.146	2.1	2.3	2.5	2.6	2.8	2.9	3	3.3	3.7	3.9	4	4.2	4.4	4.6	5.1
2	0.2304	3.5693	0.14339	2.2	2.5	2.7	2.8	3	3.1	3.2	3.6	3.9	4.1	4.3	4.5	4.6	4.9	5.4
3	0.2024	3.8352	0.1406	2.4	2.7	2.9	3	3.2	3.3	3.5	3.8	4.2	4.4	4.6	4.8	5	5.3	5.8
4	0.1789	4.0987	0.13805	2.6	2.9	3.1	3.3	3.4	3.5	3.7	4.1	4.5	4.7	4.9	5.1	5.3	5.6	6.2
5	0.1582	4.3476	0.13583	2.8	3.1	3.3	3.5	3.6	3.8	4	4.3	4.8	5	5.2	5.4	5.6	5.9	6.5
6	0.1395	4.5793	0.13392	3	3.3	3.5	3.7	3.8	4	4.2	4.6	5	5.3	5.4	5.7	5.9	6.2	6.8
7	0.1224	4.795	0.13228	3.2	3.5	3.7	3.8	4	4.2	4.4	4.8	5.2	5.5	5.7	5.9	6.1	6.5	7.1
8	0.1065	4.9959	0.13087	3.3	3.7	3.9	4	4.2	4.4	4.6	5	5.5	5.7	5.9	6.2	6.4	6.7	7.4
9	0.0918	5.1842	0.12966	3.4	3.8	4.1	4.2	4.4	4.5	4.7	5.2	5.7	5.9	6.1	6.4	6.6	7	7.7
10	0.0779	5.3618	0.12861	3.6	4	4.2	4.3	4.5	4.7	4.9	5.4	5.8	6.1	6.3	6.6	6.8	7.2	7.9
11	0.0648	5.5295	0.1277	3.7	4.1	4.3	4.5	4.7	4.8	5.1	5.5	6	6.3	6.5	6.8	7	7.4	8.2
12	0.0525	5.6883	0.12691	3.8	4.2	4.5	4.6	4.8	5	5.2	5.7	6.2	6.5	6.7	7	7.2	7.6	8.4
13	0.0407	5.8393	0.12622	3.9	4.3	4.6	4.7	5	5.1	5.4	5.8	6.4	6.7	6.9	7.2	7.4	7.8	8.6
